time,satellite,brdc_x_km,brdc_y_km,brdc_z_km,sp3_x_km,sp3_y_km,sp3_z_km,dx_km,dy_km,dz_km,position_error_km,brdc_radius_km,sp3_radius_km,radius_difference_km
2022-07-04 14:15:00,R03,19491.7978516,2611.08789062,16231.3676758,17767.403061,4179.803699,17890.54998,1724.3947905999994,-1568.71580838,-1659.1823041999996,2861.3445440701744,25499.122731717376,25558.230554580343,-59.107822862966714
2022-07-04 14:15:00,R04,6114.69580078,8898.51220703,23080.671875,24877.848423,-4839.383555,2955.36759,-18763.152622219997,13737.89576203,20125.304285,30754.081824319877,25481.178121039742,25515.900394502845,-34.72227346310319
2022-07-04 14:45:00,R03,22629.1821289,3941.75439453,11104.4394531,13137.18307,5537.238663,21211.584007,9491.9990589,-1595.4842684700002,-10107.144553900001,13957.004951583423,25513.249246171832,25557.3450716567,-44.09582548486651
2022-07-04 14:45:00,R04,11126.4130859,6386.35742188,22018.8999023,23361.877135,-4675.846055,9152.394715,-12235.4640491,11062.20347688,12866.5051873,20919.509602175964,25483.6139938117,25522.679495304852,-39.065501493150805
2022-07-04 14:45:00,R18,6184.51123047,17174.4267578,17800.9794922,20121.953575,8594.283641,13159.280814,-13937.44234453,8580.1431168,4641.6986782,17012.246225324623,25496.74458633045,25532.751487415608,-36.00690108515846
2022-07-04 15:15:00,R03,24626.0737305,4355.89892578,5119.25585938,8197.823013,7824.871156,22902.167288,16428.2507175,-3468.97223022,-17782.91142862,24457.16927302137,25526.929768098435,25552.733263743245,-25.803495644810027
2022-07-04 15:15:00,R04,16003.59375,4791.2265625,19250.1274414,20587.869097,-3663.036878,14642.953861,-4584.275346999999,8454.263440499999,4607.1735804,10663.779779160042,25488.00249918353,25528.303721559143,-40.30122237561227
2022-07-04 15:15:00,R18,6805.27490234,12363.6767578,21242.7822266,22421.302576,9744.757519,7371.083384,-15616.027673659999,2618.919238799999,13871.6988426,21050.964041194453,25503.491255013214,25534.446901441435,-30.95564642822137
2022-07-04 15:15:00,R19,328.369140625,23321.4726562,10328.9282227,16129.45506,-32.71617,19750.563747,-15801.085919375,23354.1888262,-9421.6355243,29729.777461562466,25508.54114558666,25499.905082267458,8.63606331920164
2022-07-04 15:45:00,R04,20209.2050781,4103.87695312,14989.6137695,16977.462742,-1585.94479,19004.021471,3231.7423361,5689.821743119999,-4014.4077015000003,7676.828719548503,25493.96589183088,25532.377368806756,-38.41147697587439
2022-07-04 15:45:00,R05,4239.53564453,10205.8828125,22977.8959961,21383.341478,-13110.556652,4714.526424,-17143.805833469996,23316.4394645,18263.3695721,34221.588155498,25497.400080622177,25521.770077575944,-24.36999695376653
2022-07-04 15:45:00,R18,8344.89160156,7088.21142578,23041.5410156,23533.191928,9856.372482,1014.628273,-15188.30032644,-2768.1610562200003,22026.9127426,26898.551399832384,25510.636398018803,25534.06883668136,-23.432438662555796
2022-07-04 15:45:00,R19,205.252441406,20113.0913086,15683.9501953,20104.937739,1850.422038,15577.066697,-19899.685297594002,18262.6692706,106.8834982999997,27009.886854868633,25506.173062249753,25500.54097642968,5.6320858200742805
2022-07-04 16:15:00,R19,1699.21191406,15952.7939453,19826.0371094,23219.120688,2685.300414,10198.121628,-21519.90877394,13267.4935313,9627.9154814,27052.349523817127,25503.93505428897,25501.766381504232,2.168672784737282
2022-07-04 16:45:00,R19,4245.87841797,11358.4194336,22434.6352539,25037.214212,2706.072926,4030.008593,-20791.335794029997,8652.3465076,18404.6266609,29083.896346858375,25502.03981146015,25503.448696951924,-1.408885491775436
2022-07-04 16:45:00,R20,10094.3105469,21624.7436523,8955.81005859,13567.613632,-6776.776549,20521.556489,-3473.3030851000003,28401.5202013,-11565.74643041,30862.2208299785,25489.824974889245,25517.427785604228,-27.602810714983207
2022-07-04 17:15:00,R20,8578.36328125,19100.8300781,14540.9248047,18184.17666,-6512.369997,16682.381882,-9605.813378750001,25613.2000751,-2141.4570773000014,27438.904992152904,25492.51891111366,25522.09060866285,-29.571697549188684
2022-07-04 17:45:00,R13,2295.546875,25350.8632812,1695.23876953,-9102.844834,6254.054404,22983.33348,11398.391709,19096.808877199997,-21288.094710470003,30786.269979425007,25510.970954535114,25499.188191253485,11.782763281629741
2022-07-04 17:45:00,R20,5796.42480469,15983.6782227,18999.7290039,21681.200917,-6925.150212,11555.460559,-15884.776112309999,22908.8284347,7444.268444900001,28854.075363256183,25496.3960642456,25525.68994939588,-29.293885150280403
2022-07-04 17:45:00,R21,19406.9985352,16485.3999023,1748.28271484,3244.005437,-10741.67112,22896.405666,16162.9930982,27227.0710223,-21148.12295116,38076.22416552368,25523.64579238272,25498.08742136485,25.55837101786892
2022-07-04 18:15:00,R14,6609.57861328,20570.2573242,13559.6420898,2444.754629,15949.944143,19779.654703,4164.82398428,4620.313181199999,-6220.0126132000005,8796.681739199816,25508.545811794287,25526.697466196973,-18.15165440268538
2022-07-04 18:15:00,R15,10869.2983398,4146.90234375,22676.8334961,15338.844027,19496.491732,5979.916641,-4469.5456871999995,-15349.589388249999,16696.9168551,23116.525809558138,25486.80487738746,25517.69442904054,-30.889551653079252
2022-07-04 18:15:00,R20,1828.95898438,12787.0302734,21987.6708984,23717.103454,-7649.628667,5536.823486,-21888.14446962,20436.6589404,16450.8474124,34166.917881998896,25501.19420175727,25527.910790071484,-26.716588314215187
2022-07-04 18:15:00,R21,18636.1601562,15458.9404297,8063.59716797,8574.519212,-11830.4569,20892.441296,10061.6409442,27289.397329699997,-12828.844128030001,31788.78838159028,25520.71519107259,25494.630679547427,26.084511525165
2022-07-04 18:45:00,R14,6990.89550781,23217.7861328,7938.47070312,-1412.309912,12468.632194,22227.834577,8403.20541981,10749.1539388,-14289.363873880002,19757.127616323447,25513.869365775405,25525.24315377355,-11.373787998145417
2022-07-04 18:45:00,R15,11277.2177734,9527.73095703,20779.1088867,13840.088711,17864.553755,11862.596183,-2562.8709376000006,-8336.82279797,8916.5127037,12472.975611408472,25489.697213257976,25522.764830530417,-33.06761727244157
2022-07-04 18:45:00,R20,3041.92675781,9981.40478516,23274.5288086,24146.041919,-8237.07021,-909.003091,-21104.11516119,18218.474995160002,24183.5318996,36907.1771207852,25506.576625400885,25528.551714071484,-21.97508867059878
2022-07-04 18:45:00,R21,16395.5126953,13894.5239258,13756.2475586,13021.239357,-13491.54223,17270.836271,3374.2733382999995,27386.0661558,-3514.5887124,27816.086602337607,25516.758778494193,25492.276705619064,24.482072875129234
2022-07-04 19:15:00,R14,7447.45996094,24348.2290039,1703.80029297,-6054.54689,9355.652613,22961.138211,13502.00685094,14992.5763909,-21257.33791803,29307.950307060346,25518.696105688596,25522.532041374474,-3.835935685878212
2022-07-04 19:15:00,R15,12318.7797852,14138.1811523,17271.5634766,11006.024451,15723.935718,16829.615305,1312.755334200001,-1585.754565700001,441.94817160000093,2105.531357280043,25494.06610601232,25526.666057166498,-32.59995115417769
2022-07-04 19:15:00,R21,12740.8608398,12267.1430664,18386.2841797,16213.276553,-15341.338851,12311.500579,-3472.4157132,27608.4819174,6074.7836007000005,28481.37883712821,25512.110455377097,25491.176136694416,20.934318682680896
2022-07-04 19:45:00,R15,13674.2216797,17573.4150391,12426.4663086,6936.258407,13544.230023,20498.268029,6737.9632727,4029.1850161,-8071.801720399999,11260.038364573686,25499.535674219922,25529.137074984268,-29.60140076434618
2022-07-04 19:45:00,R21,7934.11035156,11013.6904297,21595.465332,17968.35289,-16911.826934,6398.336303,-10034.242538439998,27925.5173637,15197.129029,33338.765335186356,25507.167754527563,25491.377037567563,15.790716960000282
2022-07-04 20:15:00,R15,14920.4506836,19598.465332,6619.51904297,1922.150575,11745.414301,22586.120598,12998.3001086,7853.051030999999,-15966.601555030002,22035.393834143455,25505.641029615155,25530.026705871423,-24.385676256268198
2022-07-04 20:15:00,R21,2407.48095703,10456.8232422,23135.0083008,18315.659008,-17731.920845,-10.573612,-15908.178050969998,28188.7440872,23145.5819128,39791.87585672672,25502.34745969792,25492.83219950164,9.515260196279996
2022-07-04 21:15:00,R09,12183.2373047,3440.81738281,22135.4995117,24077.19749,3465.990595,7828.895569,-11893.960185299999,-25.173212190000413,14306.6039427,18604.99500009051,25500.01635522911,25554.180393966824,-54.1640387377156
2022-07-04 21:45:00,R09,16186.2714844,138.0078125,19720.3710938,21450.233463,3516.612657,13434.54221,-5263.9619786,-3378.6048445,6285.828883800001,8867.689167073893,25512.88824888696,25553.199498083388,-40.311249196427525
2022-07-04 21:45:00,R24,23818.8896484,9150.93164062,282.341796875,-8721.421049,-6899.270572,22963.918928,32540.3106974,16050.202212619999,-22681.577131125,42789.42337195594,25517.81281505567,25514.793592568258,3.019222487411753
2022-07-04 22:15:00,R09,19946.8740234,2148.31787109,15781.4575195,17629.40084,4206.687533,18006.808917,2317.4731834000013,-2058.36966191,-2225.3513974999987,3815.724893543142,25525.427605045476,25548.72132516696,-23.29372012148451
2022-07-04 22:45:00,R07,5392.33203125,18933.4868164,16287.925293,19792.654644,6532.435923,14713.524331,-14400.322612749998,12401.050893399999,1574.4009619999997,19069.192248260606,25550.9428028084,25512.93192057088,38.01088223751867
2022-07-04 22:45:00,R09,22969.7905273,3409.28222656,10624.7314453,13041.746642,5753.35457,21193.419178,9928.0438853,-2344.0723434400006,-10568.6877327,14688.699429529031,25536.6286038922,25541.128807017834,-4.500203125633561
2022-07-04 23:15:00,R07,6068.58300781,14484.0258789,20156.0795898,22380.359925,7990.005317,9250.785545,-16311.77691719,6494.0205619,10905.294044799999,20668.135074507878,25551.560614054033,25500.9358365103,50.62477754373322
2022-07-04 23:15:00,R08,2669.17529297,24256.7036133,7527.74658203,14137.040521,-3271.119963,21030.422471,-11467.865228030001,27527.8235763,-13502.675888970001,32735.535124673454,25537.79817312658,25550.632278154582,-12.83410502800325
2022-07-04 23:15:00,R09,24826.7792969,3820.25048828,4649.07617188,8194.612491,8198.548274,22747.882343,16632.1668059,-4378.29778572,-18098.80617112,24967.283572297045,25545.590486464163,25531.04029940286,14.550187061304314
2022-07-04 23:15:00,R17,18691.4423828,17315.105957,1624.28955078,-10365.156245,-4360.832646,22891.741245,29056.5986278,21675.938603,-21267.451694220003,42028.99879492819,25530.789827117416,25504.610222030762,26.179605086654192
2022-07-04 23:45:00,R07,7630.34863281,9457.83007812,22473.8291016,23859.624171,8425.649715,3072.217696,-16229.275538189999,1032.18036312,19401.6114056,25315.55462419125,25548.88969275847,25489.44409501436,59.445597744106635
2022-07-04 23:45:00,R08,2108.87451172,21750.847168,13236.597168,18468.520851,-1282.891969,17594.159213,-16359.646339280001,23033.739137,-4357.562044999999,28586.351882562903,25549.054949641122,25539.900403884494,9.154545756628067
